n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,IMM,1000.0,100,0.3085570335388183,0.4406,2635.6121,0.7912,0.4409,0.1092,0.639,0.4336,0.4354,1.0,0.2782,0.4354,0.3907,ExKMC,cure-t0-2000n-2D_y.zip
10,10,IMM,1000.0,20,0.0156197547912597,0.4406,2635.6121,0.7912,0.4409,0.1092,0.639,0.4336,0.4354,1.0,0.2782,0.4354,0.3907,ExKMC,cure-t0-2000n-2D_y.zip
10,10,IMM,100.0,100,0.1094248294830322,0.4097,2380.8571,0.8269,0.4467,0.1158,0.639,0.4381,0.4399,1.0,0.2819,0.4399,0.4019,ExKMC,cure-t0-2000n-2D_y.zip
10,10,IMM,100.0,20,0.309983491897583,0.4406,2635.6121,0.7912,0.4409,0.1092,0.639,0.4336,0.4354,1.0,0.2782,0.4354,0.3907,ExKMC,cure-t0-2000n-2D_y.zip
10,10,IMM,inf,100,0.5496120452880859,0.4406,2635.6121,0.7912,0.4409,0.1092,0.639,0.4336,0.4354,1.0,0.2782,0.4354,0.3907,ExKMC,cure-t0-2000n-2D_y.zip
10,10,IMM,inf,20,0.3680200576782226,0.4406,2635.6121,0.7912,0.4409,0.1092,0.639,0.4336,0.4354,1.0,0.2782,0.4354,0.3907,ExKMC,cure-t0-2000n-2D_y.zip
10,10,NONE,1000.0,100,0.5417675971984863,0.3981,2081.3246,0.8997,0.4674,0.1398,0.639,0.4608,0.4624,1.0,0.3007,0.4624,0.4391,ExKMC,cure-t0-2000n-2D_y.zip
10,10,NONE,1000.0,20,0.6563732624053955,0.3981,2081.3246,0.8997,0.4674,0.1398,0.639,0.4608,0.4624,1.0,0.3007,0.4624,0.4391,ExKMC,cure-t0-2000n-2D_y.zip
10,10,NONE,100.0,100,0.285071849822998,0.3905,2144.809,0.8824,0.46,0.1312,0.639,0.456,0.4575,1.0,0.2966,0.4575,0.4261,ExKMC,cure-t0-2000n-2D_y.zip
10,10,NONE,100.0,20,0.6391572952270508,0.3981,2081.3246,0.8997,0.4674,0.1398,0.639,0.4608,0.4624,1.0,0.3007,0.4624,0.4391,ExKMC,cure-t0-2000n-2D_y.zip
10,10,NONE,inf,100,0.8418805599212646,0.3981,2081.3246,0.8997,0.4674,0.1398,0.639,0.4608,0.4624,1.0,0.3007,0.4624,0.4391,ExKMC,cure-t0-2000n-2D_y.zip
10,10,NONE,inf,20,0.4432494640350342,0.3981,2081.3246,0.8997,0.4674,0.1398,0.639,0.4608,0.4624,1.0,0.3007,0.4624,0.4391,ExKMC,cure-t0-2000n-2D_y.zip
10,12,IMM,1000.0,100,0.0163235664367675,0.4427,2676.7964,0.7827,0.4414,0.1097,0.639,0.4339,0.4357,1.0,0.2785,0.4357,0.3916,ExKMC,cure-t0-2000n-2D_y.zip
10,12,IMM,1000.0,20,0.2987346649169922,0.4427,2676.7964,0.7827,0.4414,0.1097,0.639,0.4339,0.4357,1.0,0.2785,0.4357,0.3916,ExKMC,cure-t0-2000n-2D_y.zip
10,12,IMM,100.0,100,0.6284799575805664,0.4344,2592.8784,0.7871,0.4445,0.1133,0.639,0.4361,0.4379,1.0,0.2803,0.4379,0.3977,ExKMC,cure-t0-2000n-2D_y.zip
10,12,IMM,100.0,20,0.7835333347320557,0.4427,2676.7964,0.7827,0.4414,0.1097,0.639,0.4339,0.4357,1.0,0.2785,0.4357,0.3916,ExKMC,cure-t0-2000n-2D_y.zip
10,12,IMM,inf,100,0.3235306739807129,0.4427,2676.7964,0.7827,0.4414,0.1097,0.639,0.4339,0.4357,1.0,0.2785,0.4357,0.3916,ExKMC,cure-t0-2000n-2D_y.zip
10,12,IMM,inf,20,0.6290569305419922,0.4427,2676.7964,0.7827,0.4414,0.1097,0.639,0.4339,0.4357,1.0,0.2785,0.4357,0.3916,ExKMC,cure-t0-2000n-2D_y.zip
10,12,NONE,1000.0,100,0.5165538787841797,0.4059,2371.6866,0.8487,0.4459,0.1149,0.639,0.4374,0.4391,1.0,0.2813,0.4391,0.4003,ExKMC,cure-t0-2000n-2D_y.zip
10,12,NONE,1000.0,20,0.3008711338043213,0.4059,2371.6866,0.8487,0.4459,0.1149,0.639,0.4374,0.4391,1.0,0.2813,0.4391,0.4003,ExKMC,cure-t0-2000n-2D_y.zip
10,12,NONE,100.0,100,0.7475922107696533,0.4089,2343.3625,0.7996,0.4444,0.1132,0.639,0.4366,0.4383,1.0,0.2807,0.4383,0.3975,ExKMC,cure-t0-2000n-2D_y.zip
10,12,NONE,100.0,20,0.4480829238891601,0.4059,2371.6866,0.8487,0.4459,0.1149,0.639,0.4374,0.4391,1.0,0.2813,0.4391,0.4003,ExKMC,cure-t0-2000n-2D_y.zip
10,12,NONE,inf,100,0.0260264873504638,0.4059,2371.6866,0.8487,0.4459,0.1149,0.639,0.4374,0.4391,1.0,0.2813,0.4391,0.4003,ExKMC,cure-t0-2000n-2D_y.zip
10,12,NONE,inf,20,0.7134144306182861,0.4059,2371.6866,0.8487,0.4459,0.1149,0.639,0.4374,0.4391,1.0,0.2813,0.4391,0.4003,ExKMC,cure-t0-2000n-2D_y.zip
12,12,IMM,1000.0,100,0.725135326385498,0.4249,2555.8866,0.803,0.4262,0.0926,0.639,0.4095,0.4116,1.0,0.2591,0.4116,0.3612,ExKMC,cure-t0-2000n-2D_y.zip
12,12,IMM,1000.0,20,0.830683708190918,0.4249,2555.8866,0.803,0.4262,0.0926,0.639,0.4095,0.4116,1.0,0.2591,0.4116,0.3612,ExKMC,cure-t0-2000n-2D_y.zip
12,12,IMM,100.0,100,0.7425103187561035,0.416,2573.1663,0.7702,0.4272,0.0936,0.639,0.4103,0.4124,1.0,0.2598,0.4124,0.3631,ExKMC,cure-t0-2000n-2D_y.zip
12,12,IMM,100.0,20,0.6284964084625244,0.4249,2555.8866,0.803,0.4262,0.0926,0.639,0.4095,0.4116,1.0,0.2591,0.4116,0.3612,ExKMC,cure-t0-2000n-2D_y.zip
12,12,IMM,inf,100,0.1595802307128906,0.4249,2555.8866,0.803,0.4262,0.0926,0.639,0.4095,0.4116,1.0,0.2591,0.4116,0.3612,ExKMC,cure-t0-2000n-2D_y.zip
12,12,IMM,inf,20,0.2813687324523926,0.4249,2555.8866,0.803,0.4262,0.0926,0.639,0.4095,0.4116,1.0,0.2591,0.4116,0.3612,ExKMC,cure-t0-2000n-2D_y.zip
12,12,NONE,1000.0,100,0.1190273761749267,0.3774,2098.7299,0.8367,0.4354,0.1004,0.5966,0.3989,0.401,0.9336,0.2553,0.401,0.3801,ExKMC,cure-t0-2000n-2D_y.zip
12,12,NONE,1000.0,20,0.3362743854522705,0.3774,2098.7299,0.8367,0.4354,0.1004,0.5966,0.3989,0.401,0.9336,0.2553,0.401,0.3801,ExKMC,cure-t0-2000n-2D_y.zip
12,12,NONE,100.0,100,0.1497633457183838,0.3906,2372.9485,0.8691,0.4325,0.0996,0.639,0.4144,0.4165,1.0,0.263,0.4165,0.374,ExKMC,cure-t0-2000n-2D_y.zip
12,12,NONE,100.0,20,1.0139639377593994,0.3774,2098.7299,0.8367,0.4354,0.1004,0.5966,0.3989,0.401,0.9336,0.2553,0.401,0.3801,ExKMC,cure-t0-2000n-2D_y.zip
12,12,NONE,inf,100,0.655029296875,0.3774,2098.7299,0.8367,0.4354,0.1004,0.5966,0.3989,0.401,0.9336,0.2553,0.401,0.3801,ExKMC,cure-t0-2000n-2D_y.zip
12,12,NONE,inf,20,0.7446088790893555,0.3774,2098.7299,0.8367,0.4354,0.1004,0.5966,0.3989,0.401,0.9336,0.2553,0.401,0.3801,ExKMC,cure-t0-2000n-2D_y.zip
2,10,IMM,1000.0,100,0.1850411891937255,0.3351,1051.0066,1.2678,0.5626,0.1253,0.1657,0.2482,0.2488,0.2593,0.2391,0.2488,0.6288,ExKMC,cure-t0-2000n-2D_y.zip
2,10,IMM,1000.0,20,0.2646481990814209,0.3351,1051.0066,1.2678,0.5626,0.1253,0.1657,0.2482,0.2488,0.2593,0.2391,0.2488,0.6288,ExKMC,cure-t0-2000n-2D_y.zip
2,10,IMM,100.0,100,0.5226888656616211,0.3302,1026.7536,1.2716,0.546,0.0918,0.1549,0.2321,0.2327,0.2424,0.2237,0.2327,0.6145,ExKMC,cure-t0-2000n-2D_y.zip
2,10,IMM,100.0,20,0.4115941524505615,0.3351,1051.0066,1.2678,0.5626,0.1253,0.1657,0.2482,0.2488,0.2593,0.2391,0.2488,0.6288,ExKMC,cure-t0-2000n-2D_y.zip
2,10,IMM,inf,100,0.5218164920806885,0.3351,1051.0066,1.2678,0.5626,0.1253,0.1657,0.2482,0.2488,0.2593,0.2391,0.2488,0.6288,ExKMC,cure-t0-2000n-2D_y.zip
2,10,IMM,inf,20,0.3959791660308838,0.3351,1051.0066,1.2678,0.5626,0.1253,0.1657,0.2482,0.2488,0.2593,0.2391,0.2488,0.6288,ExKMC,cure-t0-2000n-2D_y.zip
2,10,NONE,1000.0,100,0.6024808883666992,0.3351,1051.0066,1.2678,0.5626,0.1253,0.1657,0.2482,0.2488,0.2593,0.2391,0.2488,0.6288,ExKMC,cure-t0-2000n-2D_y.zip
2,10,NONE,1000.0,20,0.4903657436370849,0.3351,1051.0066,1.2678,0.5626,0.1253,0.1657,0.2482,0.2488,0.2593,0.2391,0.2488,0.6288,ExKMC,cure-t0-2000n-2D_y.zip
2,10,NONE,100.0,100,0.5591685771942139,0.3302,1040.8119,1.2501,0.5329,0.0643,0.1459,0.2188,0.2194,0.2282,0.2113,0.2194,0.6037,ExKMC,cure-t0-2000n-2D_y.zip
2,10,NONE,100.0,20,0.4468345642089844,0.3351,1051.0066,1.2678,0.5626,0.1253,0.1657,0.2482,0.2488,0.2593,0.2391,0.2488,0.6288,ExKMC,cure-t0-2000n-2D_y.zip
2,10,NONE,inf,100,0.3462305068969726,0.3291,1024.458,1.2674,0.5407,0.0807,0.1513,0.2268,0.2273,0.2367,0.2187,0.2273,0.6101,ExKMC,cure-t0-2000n-2D_y.zip
2,10,NONE,inf,20,0.1585891246795654,0.3351,1051.0066,1.2678,0.5626,0.1253,0.1657,0.2482,0.2488,0.2593,0.2391,0.2488,0.6288,ExKMC,cure-t0-2000n-2D_y.zip
2,12,IMM,1000.0,100,0.1139543056488037,0.3361,1053.5495,1.2631,0.557,0.1141,0.1621,0.2428,0.2434,0.2537,0.2339,0.2434,0.6239,ExKMC,cure-t0-2000n-2D_y.zip
2,12,IMM,1000.0,20,0.602043628692627,0.3361,1053.5495,1.2631,0.557,0.1141,0.1621,0.2428,0.2434,0.2537,0.2339,0.2434,0.6239,ExKMC,cure-t0-2000n-2D_y.zip
2,12,IMM,100.0,100,0.0185732841491699,0.3302,1026.7536,1.2716,0.546,0.0918,0.1549,0.2321,0.2327,0.2424,0.2237,0.2327,0.6145,ExKMC,cure-t0-2000n-2D_y.zip
2,12,IMM,100.0,20,0.098196268081665,0.3361,1053.3017,1.2629,0.5566,0.1133,0.1619,0.2424,0.243,0.2533,0.2335,0.243,0.6236,ExKMC,cure-t0-2000n-2D_y.zip
2,12,IMM,inf,100,0.429666519165039,0.3361,1053.5495,1.2631,0.557,0.1141,0.1621,0.2428,0.2434,0.2537,0.2339,0.2434,0.6239,ExKMC,cure-t0-2000n-2D_y.zip
2,12,IMM,inf,20,0.1359021663665771,0.3361,1053.5495,1.2631,0.557,0.1141,0.1621,0.2428,0.2434,0.2537,0.2339,0.2434,0.6239,ExKMC,cure-t0-2000n-2D_y.zip
2,12,NONE,1000.0,100,0.1471569538116455,0.3361,1053.5495,1.2631,0.557,0.1141,0.1621,0.2428,0.2434,0.2537,0.2339,0.2434,0.6239,ExKMC,cure-t0-2000n-2D_y.zip
2,12,NONE,1000.0,20,0.0970726013183593,0.3361,1053.5495,1.2631,0.557,0.1141,0.1621,0.2428,0.2434,0.2537,0.2339,0.2434,0.6239,ExKMC,cure-t0-2000n-2D_y.zip
2,12,NONE,100.0,100,0.6699872016906738,0.3363,1079.2964,1.2096,0.5184,0.0324,0.135,0.2032,0.2038,0.2112,0.1969,0.2038,0.5924,ExKMC,cure-t0-2000n-2D_y.zip
2,12,NONE,100.0,20,0.4937314987182617,0.3361,1053.5495,1.2631,0.557,0.1141,0.1621,0.2428,0.2434,0.2537,0.2339,0.2434,0.6239,ExKMC,cure-t0-2000n-2D_y.zip
2,12,NONE,inf,100,0.1027781963348388,0.3361,1053.5495,1.2631,0.557,0.1141,0.1621,0.2428,0.2434,0.2537,0.2339,0.2434,0.6239,ExKMC,cure-t0-2000n-2D_y.zip
2,12,NONE,inf,20,0.136061429977417,0.3361,1053.5495,1.2631,0.557,0.1141,0.1621,0.2428,0.2434,0.2537,0.2339,0.2434,0.6239,ExKMC,cure-t0-2000n-2D_y.zip
2,2,IMM,1000.0,100,0.0683887004852294,0.3587,1161.3974,1.1747,0.5301,0.0541,0.1413,0.2131,0.2137,0.221,0.2069,0.2137,0.6033,ExKMC,cure-t0-2000n-2D_y.zip
2,2,IMM,1000.0,20,0.3566644191741943,0.3587,1161.3974,1.1747,0.5301,0.0541,0.1413,0.2131,0.2137,0.221,0.2069,0.2137,0.6033,ExKMC,cure-t0-2000n-2D_y.zip
2,2,IMM,100.0,100,0.3176062107086181,0.354,1124.7177,1.1829,0.5392,0.0669,0.1436,0.2182,0.2188,0.2247,0.2132,0.2188,0.6135,ExKMC,cure-t0-2000n-2D_y.zip
2,2,IMM,100.0,20,0.5552356243133545,0.3587,1161.3974,1.1747,0.5301,0.0541,0.1413,0.2131,0.2137,0.221,0.2069,0.2137,0.6033,ExKMC,cure-t0-2000n-2D_y.zip
2,2,IMM,inf,100,0.3709778785705566,0.3587,1161.3974,1.1747,0.5301,0.0541,0.1413,0.2131,0.2137,0.221,0.2069,0.2137,0.6033,ExKMC,cure-t0-2000n-2D_y.zip
2,2,IMM,inf,20,0.4974374771118164,0.3587,1161.3974,1.1747,0.5301,0.0541,0.1413,0.2131,0.2137,0.221,0.2069,0.2137,0.6033,ExKMC,cure-t0-2000n-2D_y.zip
2,2,NONE,1000.0,100,0.4549391269683838,0.3587,1161.3974,1.1747,0.5301,0.0541,0.1413,0.2131,0.2137,0.221,0.2069,0.2137,0.6033,ExKMC,cure-t0-2000n-2D_y.zip
2,2,NONE,1000.0,20,0.3531439304351806,0.3587,1161.3974,1.1747,0.5301,0.0541,0.1413,0.2131,0.2137,0.221,0.2069,0.2137,0.6033,ExKMC,cure-t0-2000n-2D_y.zip
2,2,NONE,100.0,100,0.4941792488098144,0.3594,1168.3325,1.1739,0.528,0.0511,0.1407,0.2119,0.2125,0.2202,0.2054,0.2125,0.6009,ExKMC,cure-t0-2000n-2D_y.zip
2,2,NONE,100.0,20,0.5873441696166992,0.3587,1161.3974,1.1747,0.5301,0.0541,0.1413,0.2131,0.2137,0.221,0.2069,0.2137,0.6033,ExKMC,cure-t0-2000n-2D_y.zip
2,2,NONE,inf,100,0.5595390796661377,0.3587,1161.3974,1.1747,0.5301,0.0541,0.1413,0.2131,0.2137,0.221,0.2069,0.2137,0.6033,ExKMC,cure-t0-2000n-2D_y.zip
2,2,NONE,inf,20,0.4970822334289551,0.3587,1161.3974,1.1747,0.5301,0.0541,0.1413,0.2131,0.2137,0.221,0.2069,0.2137,0.6033,ExKMC,cure-t0-2000n-2D_y.zip
2,3,IMM,1000.0,100,0.4968280792236328,0.3226,975.6151,1.2658,0.5201,0.0362,0.1363,0.2051,0.2057,0.2133,0.1986,0.2057,0.5937,ExKMC,cure-t0-2000n-2D_y.zip
2,3,IMM,1000.0,20,0.2484736442565918,0.3226,975.6151,1.2658,0.5201,0.0362,0.1363,0.2051,0.2057,0.2133,0.1986,0.2057,0.5937,ExKMC,cure-t0-2000n-2D_y.zip
2,3,IMM,100.0,100,0.6280522346496582,0.3173,953.3082,1.2922,0.5257,0.0486,0.1406,0.2112,0.2118,0.22,0.2042,0.2118,0.5979,ExKMC,cure-t0-2000n-2D_y.zip
2,3,IMM,100.0,20,0.537999153137207,0.3226,975.6151,1.2658,0.5201,0.0362,0.1363,0.2051,0.2057,0.2133,0.1986,0.2057,0.5937,ExKMC,cure-t0-2000n-2D_y.zip
2,3,IMM,inf,100,0.3545420169830322,0.3226,975.6151,1.2658,0.5201,0.0362,0.1363,0.2051,0.2057,0.2133,0.1986,0.2057,0.5937,ExKMC,cure-t0-2000n-2D_y.zip
2,3,IMM,inf,20,0.1094136238098144,0.3226,975.6151,1.2658,0.5201,0.0362,0.1363,0.2051,0.2057,0.2133,0.1986,0.2057,0.5937,ExKMC,cure-t0-2000n-2D_y.zip
2,3,NONE,1000.0,100,0.5236532688140869,0.3226,975.6151,1.2658,0.5201,0.0362,0.1363,0.2051,0.2057,0.2133,0.1986,0.2057,0.5937,ExKMC,cure-t0-2000n-2D_y.zip
2,3,NONE,1000.0,20,0.3032939434051513,0.3226,975.6151,1.2658,0.5201,0.0362,0.1363,0.2051,0.2057,0.2133,0.1986,0.2057,0.5937,ExKMC,cure-t0-2000n-2D_y.zip
2,3,NONE,100.0,100,0.6427428722381592,0.322,974.6099,1.259,0.5162,0.0273,0.1332,0.2007,0.2013,0.2085,0.1946,0.2013,0.5908,ExKMC,cure-t0-2000n-2D_y.zip
2,3,NONE,100.0,20,0.5149524211883545,0.3226,975.6151,1.2658,0.5201,0.0362,0.1363,0.2051,0.2057,0.2133,0.1986,0.2057,0.5937,ExKMC,cure-t0-2000n-2D_y.zip
2,3,NONE,inf,100,0.5012290477752686,0.3226,975.6151,1.2658,0.5201,0.0362,0.1363,0.2051,0.2057,0.2133,0.1986,0.2057,0.5937,ExKMC,cure-t0-2000n-2D_y.zip
2,3,NONE,inf,20,0.4761748313903808,0.3226,975.6151,1.2658,0.5201,0.0362,0.1363,0.2051,0.2057,0.2133,0.1986,0.2057,0.5937,ExKMC,cure-t0-2000n-2D_y.zip
2,4,IMM,1000.0,100,0.4886322021484375,0.324,1005.4944,1.2834,0.5446,0.0888,0.1539,0.2307,0.2312,0.2409,0.2223,0.2312,0.6133,ExKMC,cure-t0-2000n-2D_y.zip
2,4,IMM,1000.0,20,0.5417320728302002,0.324,1005.4944,1.2834,0.5446,0.0888,0.1539,0.2307,0.2312,0.2409,0.2223,0.2312,0.6133,ExKMC,cure-t0-2000n-2D_y.zip
