n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,correlation,average,1000.0,100,3.556782960891724,0.0255,590.6807,2.4757,skl_agglomerativeClust,fico.zip
10,correlation,average,1000.0,20,3.5908303260803223,0.0255,590.6807,2.4757,skl_agglomerativeClust,fico.zip
10,correlation,average,100.0,100,3.594863176345825,-0.0319,412.0584,2.5057,skl_agglomerativeClust,fico.zip
10,correlation,average,100.0,20,3.5567400455474854,0.0255,590.6807,2.4757,skl_agglomerativeClust,fico.zip
10,correlation,average,20.0,20,3.0622341632843018,0.0623,1171.9766,2.3817,skl_agglomerativeClust,fico.zip
10,correlation,average,inf,100,3.581339120864868,0.0255,590.6807,2.4757,skl_agglomerativeClust,fico.zip
10,correlation,average,inf,20,3.5677919387817383,0.0255,590.6807,2.4757,skl_agglomerativeClust,fico.zip
10,correlation,complete,1000.0,100,3.363191843032837,-0.0102,490.9615,2.8852,skl_agglomerativeClust,fico.zip
10,correlation,complete,1000.0,20,3.3408679962158203,-0.0102,490.9615,2.8852,skl_agglomerativeClust,fico.zip
10,correlation,complete,100.0,100,3.39521861076355,-0.0033,559.8794,2.8269,skl_agglomerativeClust,fico.zip
10,correlation,complete,100.0,20,3.342413663864136,-0.0102,490.9615,2.8852,skl_agglomerativeClust,fico.zip
10,correlation,complete,20.0,20,2.7941391468048096,-0.0152,546.1295,3.3656,skl_agglomerativeClust,fico.zip
10,correlation,complete,inf,100,3.3472611904144287,-0.0102,490.9615,2.8852,skl_agglomerativeClust,fico.zip
10,correlation,complete,inf,20,3.351752281188965,-0.0102,490.9615,2.8852,skl_agglomerativeClust,fico.zip
10,correlation,single,1000.0,100,1.1829190254211426,-0.357,0.349,1.9403,skl_agglomerativeClust,fico.zip
10,correlation,single,1000.0,20,1.17933988571167,-0.357,0.349,1.9403,skl_agglomerativeClust,fico.zip
10,correlation,single,100.0,100,1.1934657096862793,-0.3446,0.3984,1.7969,skl_agglomerativeClust,fico.zip
10,correlation,single,100.0,20,1.2004806995391846,-0.357,0.349,1.9403,skl_agglomerativeClust,fico.zip
10,correlation,single,20.0,20,1.1658854484558103,-0.3468,0.3814,1.9505,skl_agglomerativeClust,fico.zip
10,correlation,single,inf,100,1.1789917945861816,-0.357,0.349,1.9403,skl_agglomerativeClust,fico.zip
10,correlation,single,inf,20,1.1819698810577393,-0.357,0.349,1.9403,skl_agglomerativeClust,fico.zip
10,cosine,average,1000.0,100,3.5755207538604736,0.0049,1421.0453,2.1893,skl_agglomerativeClust,fico.zip
10,cosine,average,1000.0,20,3.5839953422546387,0.0049,1421.0453,2.1893,skl_agglomerativeClust,fico.zip
10,cosine,average,100.0,100,3.564013957977295,0.0084,1120.2668,2.2336,skl_agglomerativeClust,fico.zip
10,cosine,average,100.0,20,3.583220958709717,0.0049,1421.0453,2.1893,skl_agglomerativeClust,fico.zip
10,cosine,average,20.0,20,3.003307580947876,0.0196,1211.7583,2.3695,skl_agglomerativeClust,fico.zip
10,cosine,average,inf,100,3.5945539474487305,0.0049,1421.0453,2.1893,skl_agglomerativeClust,fico.zip
10,cosine,average,inf,20,3.588918924331665,0.0049,1421.0453,2.1893,skl_agglomerativeClust,fico.zip
10,cosine,complete,1000.0,100,3.364285707473755,-0.0086,488.0632,2.7013,skl_agglomerativeClust,fico.zip
10,cosine,complete,1000.0,20,3.3555948734283447,-0.0086,488.0632,2.7013,skl_agglomerativeClust,fico.zip
10,cosine,complete,100.0,100,3.427742958068848,0.0129,720.813,2.9111,skl_agglomerativeClust,fico.zip
10,cosine,complete,100.0,20,3.3696177005767822,-0.0086,488.0632,2.7013,skl_agglomerativeClust,fico.zip
10,cosine,complete,20.0,20,2.789478302001953,-0.0345,384.9208,3.3127,skl_agglomerativeClust,fico.zip
10,cosine,complete,inf,100,3.3701980113983154,-0.0086,488.0632,2.7013,skl_agglomerativeClust,fico.zip
10,cosine,complete,inf,20,3.365764141082764,-0.0086,488.0632,2.7013,skl_agglomerativeClust,fico.zip
10,cosine,single,1000.0,100,1.178560495376587,-0.2157,869.4321,1.398,skl_agglomerativeClust,fico.zip
10,cosine,single,1000.0,20,1.1839418411254885,-0.2157,869.4321,1.398,skl_agglomerativeClust,fico.zip
10,cosine,single,100.0,100,1.183393955230713,-0.2134,869.4549,1.3641,skl_agglomerativeClust,fico.zip
10,cosine,single,100.0,20,1.1913230419158936,-0.2157,869.4321,1.398,skl_agglomerativeClust,fico.zip
10,cosine,single,20.0,20,1.1768701076507568,-0.2041,869.6938,1.2579,skl_agglomerativeClust,fico.zip
10,cosine,single,inf,100,1.1784048080444336,-0.2157,869.4321,1.398,skl_agglomerativeClust,fico.zip
10,cosine,single,inf,20,1.1930782794952393,-0.2157,869.4321,1.398,skl_agglomerativeClust,fico.zip
10,euclidean,average,1000.0,100,3.872882127761841,0.4886,948.8128,0.4744,skl_agglomerativeClust,fico.zip
10,euclidean,average,1000.0,20,3.885052442550659,0.4886,948.8128,0.4744,skl_agglomerativeClust,fico.zip
10,euclidean,average,100.0,100,3.8672473430633545,0.551,951.448,0.483,skl_agglomerativeClust,fico.zip
10,euclidean,average,100.0,20,3.910121202468872,0.4886,948.8128,0.4744,skl_agglomerativeClust,fico.zip
10,euclidean,average,20.0,20,3.333766460418701,0.5504,954.7152,0.4937,skl_agglomerativeClust,fico.zip
10,euclidean,average,inf,100,3.902976751327514,0.4886,948.8128,0.4744,skl_agglomerativeClust,fico.zip
10,euclidean,average,inf,20,3.884474277496338,0.4886,948.8128,0.4744,skl_agglomerativeClust,fico.zip
10,euclidean,complete,1000.0,100,3.6199734210968018,0.1906,1158.0766,1.3411,skl_agglomerativeClust,fico.zip
10,euclidean,complete,1000.0,20,3.6378133296966553,0.1906,1158.0766,1.3411,skl_agglomerativeClust,fico.zip
10,euclidean,complete,100.0,100,3.6290395259857178,0.1766,1038.4048,1.0973,skl_agglomerativeClust,fico.zip
10,euclidean,complete,100.0,20,3.656578302383423,0.1906,1158.0766,1.3411,skl_agglomerativeClust,fico.zip
10,euclidean,complete,20.0,20,3.1715245246887207,0.0951,1193.8303,1.6092,skl_agglomerativeClust,fico.zip
10,euclidean,complete,inf,100,3.6439173221588135,0.1906,1158.0766,1.3411,skl_agglomerativeClust,fico.zip
10,euclidean,complete,inf,20,3.6390554904937744,0.1906,1158.0766,1.3411,skl_agglomerativeClust,fico.zip
10,euclidean,single,1000.0,100,1.6788129806518557,0.4738,911.9119,0.2643,skl_agglomerativeClust,fico.zip
10,euclidean,single,1000.0,20,1.6868014335632324,0.4738,911.9119,0.2643,skl_agglomerativeClust,fico.zip
10,euclidean,single,100.0,100,1.6685216426849363,0.4738,911.9119,0.2643,skl_agglomerativeClust,fico.zip
10,euclidean,single,100.0,20,1.6710879802703855,0.4738,911.9119,0.2643,skl_agglomerativeClust,fico.zip
10,euclidean,single,20.0,20,1.7676382064819336,0.4569,916.9966,0.2845,skl_agglomerativeClust,fico.zip
10,euclidean,single,inf,100,1.6885170936584473,0.4738,911.9119,0.2643,skl_agglomerativeClust,fico.zip
10,euclidean,single,inf,20,1.6720669269561768,0.4738,911.9119,0.2643,skl_agglomerativeClust,fico.zip
10,euclidean,ward,1000.0,100,3.723201036453247,0.0942,1716.0214,2.1446,skl_agglomerativeClust,fico.zip
10,euclidean,ward,1000.0,20,3.735021114349365,0.0942,1716.0214,2.1446,skl_agglomerativeClust,fico.zip
10,euclidean,ward,100.0,100,3.686756849288941,0.0849,1726.3694,2.1304,skl_agglomerativeClust,fico.zip
10,euclidean,ward,100.0,20,3.7613470554351807,0.0942,1716.0214,2.1446,skl_agglomerativeClust,fico.zip
10,euclidean,ward,20.0,20,3.2243545055389404,0.1126,1690.1156,2.0809,skl_agglomerativeClust,fico.zip
10,euclidean,ward,inf,100,3.7426116466522217,0.0942,1716.0214,2.1446,skl_agglomerativeClust,fico.zip
10,euclidean,ward,inf,20,3.738281488418579,0.0942,1716.0214,2.1446,skl_agglomerativeClust,fico.zip
12,correlation,average,1000.0,100,3.548422336578369,-0.0012,503.1706,2.4616,skl_agglomerativeClust,fico.zip
12,correlation,average,1000.0,20,3.5564866065979004,-0.0012,503.1706,2.4616,skl_agglomerativeClust,fico.zip
12,correlation,average,100.0,100,3.591346740722656,-0.0449,344.0691,2.5701,skl_agglomerativeClust,fico.zip
12,correlation,average,100.0,20,3.5700464248657227,-0.0012,503.1706,2.4616,skl_agglomerativeClust,fico.zip
12,correlation,average,20.0,20,3.0643630027771,0.0596,1047.6542,2.357,skl_agglomerativeClust,fico.zip
12,correlation,average,inf,100,3.5517325401306152,-0.0012,503.1706,2.4616,skl_agglomerativeClust,fico.zip
12,correlation,average,inf,20,3.5540883541107178,-0.0012,503.1706,2.4616,skl_agglomerativeClust,fico.zip
12,correlation,complete,1000.0,100,3.367359161376953,-0.0137,430.46,2.7596,skl_agglomerativeClust,fico.zip
12,correlation,complete,1000.0,20,3.330946683883667,-0.0137,430.46,2.7596,skl_agglomerativeClust,fico.zip
12,correlation,complete,100.0,100,3.3324782848358154,-0.0043,484.8147,2.7603,skl_agglomerativeClust,fico.zip
12,correlation,complete,100.0,20,3.328853845596313,-0.0137,430.46,2.7596,skl_agglomerativeClust,fico.zip
12,correlation,complete,20.0,20,2.8064053058624268,-0.0144,472.6796,3.1426,skl_agglomerativeClust,fico.zip
12,correlation,complete,inf,100,3.3394486904144287,-0.0137,430.46,2.7596,skl_agglomerativeClust,fico.zip
12,correlation,complete,inf,20,3.3359196186065674,-0.0137,430.46,2.7596,skl_agglomerativeClust,fico.zip
12,correlation,single,1000.0,100,1.1783466339111328,-0.3573,0.4045,1.7954,skl_agglomerativeClust,fico.zip
12,correlation,single,1000.0,20,1.1925430297851562,-0.3573,0.4045,1.7954,skl_agglomerativeClust,fico.zip
12,correlation,single,100.0,100,1.1789894104003906,-0.3607,0.3521,1.9648,skl_agglomerativeClust,fico.zip
12,correlation,single,100.0,20,1.1788923740386963,-0.3573,0.4045,1.7954,skl_agglomerativeClust,fico.zip
12,correlation,single,20.0,20,1.1752521991729736,-0.3539,0.3653,1.9009,skl_agglomerativeClust,fico.zip
12,correlation,single,inf,100,1.177755355834961,-0.3573,0.4045,1.7954,skl_agglomerativeClust,fico.zip
12,correlation,single,inf,20,1.1761348247528076,-0.3573,0.4045,1.7954,skl_agglomerativeClust,fico.zip
12,cosine,average,1000.0,100,3.6078226566314697,0.0111,1241.6078,2.2149,skl_agglomerativeClust,fico.zip
12,cosine,average,1000.0,20,3.615456342697144,0.0111,1241.6078,2.2149,skl_agglomerativeClust,fico.zip
12,cosine,average,100.0,100,3.580308437347412,0.0185,987.422,2.2433,skl_agglomerativeClust,fico.zip
12,cosine,average,100.0,20,3.6187853813171382,0.0111,1241.6078,2.2149,skl_agglomerativeClust,fico.zip
12,cosine,average,20.0,20,3.018483638763428,0.0347,1080.5558,2.3648,skl_agglomerativeClust,fico.zip
12,cosine,average,inf,100,3.602000951766968,0.0111,1241.6078,2.2149,skl_agglomerativeClust,fico.zip
12,cosine,average,inf,20,3.620064020156861,0.0111,1241.6078,2.2149,skl_agglomerativeClust,fico.zip
12,cosine,complete,1000.0,100,3.369259119033813,-0.0206,413.297,2.6888,skl_agglomerativeClust,fico.zip
12,cosine,complete,1000.0,20,3.5664453506469727,-0.0206,413.297,2.6888,skl_agglomerativeClust,fico.zip
12,cosine,complete,100.0,100,3.418107509613037,-0.0086,612.1988,3.0956,skl_agglomerativeClust,fico.zip
12,cosine,complete,100.0,20,3.3709380626678467,-0.0206,413.297,2.6888,skl_agglomerativeClust,fico.zip
12,cosine,complete,20.0,20,2.803697347640991,-0.0568,334.7786,3.3833,skl_agglomerativeClust,fico.zip
12,cosine,complete,inf,100,3.406901359558105,-0.0206,413.297,2.6888,skl_agglomerativeClust,fico.zip
12,cosine,complete,inf,20,3.371304988861084,-0.0206,413.297,2.6888,skl_agglomerativeClust,fico.zip
12,cosine,single,1000.0,100,1.1831481456756592,-0.2163,711.5916,1.3148,skl_agglomerativeClust,fico.zip
12,cosine,single,1000.0,20,1.191828727722168,-0.2163,711.5916,1.3148,skl_agglomerativeClust,fico.zip
12,cosine,single,100.0,100,1.1898107528686523,-0.2242,711.4818,1.3696,skl_agglomerativeClust,fico.zip
12,cosine,single,100.0,20,1.1862685680389404,-0.2163,711.5916,1.3148,skl_agglomerativeClust,fico.zip
12,cosine,single,20.0,20,1.191802978515625,-0.2313,711.5437,1.3227,skl_agglomerativeClust,fico.zip
12,cosine,single,inf,100,1.1938655376434326,-0.2163,711.5916,1.3148,skl_agglomerativeClust,fico.zip
12,cosine,single,inf,20,1.1919050216674805,-0.2163,711.5916,1.3148,skl_agglomerativeClust,fico.zip
12,euclidean,average,1000.0,100,3.907764196395874,0.4106,793.8704,0.6551,skl_agglomerativeClust,fico.zip
12,euclidean,average,1000.0,20,3.888300895690918,0.4106,793.8704,0.6551,skl_agglomerativeClust,fico.zip
12,euclidean,average,100.0,100,3.886898040771485,0.4274,788.8001,0.7219,skl_agglomerativeClust,fico.zip
12,euclidean,average,100.0,20,3.897045612335205,0.4106,793.8704,0.6551,skl_agglomerativeClust,fico.zip
12,euclidean,average,20.0,20,3.3528573513031006,0.4302,788.3455,0.5896,skl_agglomerativeClust,fico.zip
12,euclidean,average,inf,100,3.915233850479126,0.4106,793.8704,0.6551,skl_agglomerativeClust,fico.zip
12,euclidean,average,inf,20,3.905551910400391,0.4106,793.8704,0.6551,skl_agglomerativeClust,fico.zip
12,euclidean,complete,1000.0,100,3.663715362548828,0.1846,952.3892,1.2204,skl_agglomerativeClust,fico.zip
12,euclidean,complete,1000.0,20,3.630681991577149,0.1846,952.3892,1.2204,skl_agglomerativeClust,fico.zip
12,euclidean,complete,100.0,100,3.648613452911377,0.1627,957.2415,1.3588,skl_agglomerativeClust,fico.zip
12,euclidean,complete,100.0,20,3.654041051864624,0.1846,952.3892,1.2204,skl_agglomerativeClust,fico.zip
12,euclidean,complete,20.0,20,3.1594154834747314,0.0941,981.6615,1.4996,skl_agglomerativeClust,fico.zip
12,euclidean,complete,inf,100,3.658060789108277,0.1846,952.3892,1.2204,skl_agglomerativeClust,fico.zip
12,euclidean,complete,inf,20,3.635444641113281,0.1846,952.3892,1.2204,skl_agglomerativeClust,fico.zip
12,euclidean,single,1000.0,100,1.6685025691986084,0.4562,753.4731,0.3115,skl_agglomerativeClust,fico.zip
12,euclidean,single,1000.0,20,1.6807637214660645,0.4562,753.4731,0.3115,skl_agglomerativeClust,fico.zip
12,euclidean,single,100.0,100,1.7047419548034668,0.4746,759.5956,0.3619,skl_agglomerativeClust,fico.zip
12,euclidean,single,100.0,20,1.6704494953155518,0.4562,753.4731,0.3115,skl_agglomerativeClust,fico.zip
12,euclidean,single,20.0,20,1.7683005332946775,0.4566,758.2517,0.3616,skl_agglomerativeClust,fico.zip
12,euclidean,single,inf,100,1.677306890487671,0.4562,753.4731,0.3115,skl_agglomerativeClust,fico.zip
12,euclidean,single,inf,20,1.6679844856262207,0.4562,753.4731,0.3115,skl_agglomerativeClust,fico.zip
12,euclidean,ward,1000.0,100,3.746384859085083,0.0973,1518.1729,2.1433,skl_agglomerativeClust,fico.zip
12,euclidean,ward,1000.0,20,3.735163927078247,0.0973,1518.1729,2.1433,skl_agglomerativeClust,fico.zip
12,euclidean,ward,100.0,100,3.702371597290039,0.093,1519.7488,2.0342,skl_agglomerativeClust,fico.zip
12,euclidean,ward,100.0,20,3.7428929805755615,0.0973,1518.1729,2.1433,skl_agglomerativeClust,fico.zip
12,euclidean,ward,20.0,20,3.227194309234619,0.0823,1480.4055,2.1911,skl_agglomerativeClust,fico.zip
12,euclidean,ward,inf,100,3.756824493408203,0.0973,1518.1729,2.1433,skl_agglomerativeClust,fico.zip
12,euclidean,ward,inf,20,3.730939149856568,0.0973,1518.1729,2.1433,skl_agglomerativeClust,fico.zip
2,correlation,average,1000.0,100,3.5677602291107178,0.0553,785.4739,3.0965,skl_agglomerativeClust,fico.zip
2,correlation,average,1000.0,20,3.561678647994995,0.0553,785.4739,3.0965,skl_agglomerativeClust,fico.zip
2,correlation,average,100.0,100,3.6082375049591056,0.0374,535.833,3.2581,skl_agglomerativeClust,fico.zip
2,correlation,average,100.0,20,3.5775368213653564,0.0553,785.4739,3.0965,skl_agglomerativeClust,fico.zip
2,correlation,average,20.0,20,3.0778026580810547,0.0564,620.3412,3.5288,skl_agglomerativeClust,fico.zip
2,correlation,average,inf,100,3.573143482208252,0.0553,785.4739,3.0965,skl_agglomerativeClust,fico.zip
2,correlation,average,inf,20,3.5750231742858887,0.0553,785.4739,3.0965,skl_agglomerativeClust,fico.zip
2,correlation,complete,1000.0,100,3.342434883117676,-0.0227,399.7547,3.7803,skl_agglomerativeClust,fico.zip
2,correlation,complete,1000.0,20,3.366384506225586,-0.0227,399.7547,3.7803,skl_agglomerativeClust,fico.zip
2,correlation,complete,100.0,100,3.367604255676269,0.0435,604.3091,3.5273,skl_agglomerativeClust,fico.zip
2,correlation,complete,100.0,20,3.380157709121704,-0.0227,399.7547,3.7803,skl_agglomerativeClust,fico.zip
2,correlation,complete,20.0,20,2.827521562576294,-0.0311,305.056,3.5256,skl_agglomerativeClust,fico.zip
2,correlation,complete,inf,100,3.3600401878356934,-0.0227,399.7547,3.7803,skl_agglomerativeClust,fico.zip
2,correlation,complete,inf,20,3.368307590484619,-0.0227,399.7547,3.7803,skl_agglomerativeClust,fico.zip
2,correlation,single,1000.0,100,1.1939737796783447,0.0544,0.8733,0.9208,skl_agglomerativeClust,fico.zip
2,correlation,single,1000.0,20,1.2042014598846436,0.0544,0.8733,0.9208,skl_agglomerativeClust,fico.zip
2,correlation,single,100.0,100,1.1878612041473389,0.0544,0.8733,0.9208,skl_agglomerativeClust,fico.zip
2,correlation,single,100.0,20,1.193518877029419,0.0544,0.8733,0.9208,skl_agglomerativeClust,fico.zip
2,correlation,single,20.0,20,1.176052808761597,0.0544,0.8733,0.9208,skl_agglomerativeClust,fico.zip
2,correlation,single,inf,100,1.1943233013153076,0.0544,0.8733,0.9208,skl_agglomerativeClust,fico.zip
2,correlation,single,inf,20,1.1864356994628906,0.0544,0.8733,0.9208,skl_agglomerativeClust,fico.zip
2,cosine,average,1000.0,100,3.606276512145996,0.6498,7431.3032,0.3642,skl_agglomerativeClust,fico.zip
2,cosine,average,1000.0,20,3.599269390106201,0.6498,7431.3032,0.3642,skl_agglomerativeClust,fico.zip
2,cosine,average,100.0,100,3.592179775238037,0.5939,5933.7858,0.6495,skl_agglomerativeClust,fico.zip
2,cosine,average,100.0,20,3.6019067764282227,0.6498,7431.3032,0.3642,skl_agglomerativeClust,fico.zip
2,cosine,average,20.0,20,3.0456082820892334,0.2059,1600.8976,2.3451,skl_agglomerativeClust,fico.zip
2,cosine,average,inf,100,3.6258158683776855,0.6498,7431.3032,0.3642,skl_agglomerativeClust,fico.zip
2,cosine,average,inf,20,3.602799892425537,0.6498,7431.3032,0.3642,skl_agglomerativeClust,fico.zip
2,cosine,complete,1000.0,100,3.3745617866516118,0.0122,441.72,3.8284,skl_agglomerativeClust,fico.zip
2,cosine,complete,1000.0,20,3.374490261077881,0.0122,441.72,3.8284,skl_agglomerativeClust,fico.zip
2,cosine,complete,100.0,100,3.424363136291504,0.0099,404.4378,4.3157,skl_agglomerativeClust,fico.zip
2,cosine,complete,100.0,20,3.364745855331421,0.0122,441.72,3.8284,skl_agglomerativeClust,fico.zip
2,cosine,complete,20.0,20,2.82991361618042,-0.0,486.4233,3.5457,skl_agglomerativeClust,fico.zip
2,cosine,complete,inf,100,3.3690433502197266,0.0122,441.72,3.8284,skl_agglomerativeClust,fico.zip
2,cosine,complete,inf,20,3.400115966796875,0.0122,441.72,3.8284,skl_agglomerativeClust,fico.zip
2,cosine,single,1000.0,100,1.1853513717651367,0.0462,1.3343,1.5622,skl_agglomerativeClust,fico.zip
2,cosine,single,1000.0,20,1.2069063186645508,0.0462,1.3343,1.5622,skl_agglomerativeClust,fico.zip
2,cosine,single,100.0,100,1.183779239654541,0.0462,1.3343,1.5622,skl_agglomerativeClust,fico.zip
2,cosine,single,100.0,20,1.1906259059906006,0.0462,1.3343,1.5622,skl_agglomerativeClust,fico.zip
2,cosine,single,20.0,20,1.1780354976654053,-0.304,0.0657,3.3573,skl_agglomerativeClust,fico.zip
2,cosine,single,inf,100,1.1920177936553955,0.0462,1.3343,1.5622,skl_agglomerativeClust,fico.zip
2,cosine,single,inf,20,1.183157205581665,0.0462,1.3343,1.5622,skl_agglomerativeClust,fico.zip
2,euclidean,average,1000.0,100,3.892439603805542,0.8043,39.5993,0.1369,skl_agglomerativeClust,fico.zip
2,euclidean,average,1000.0,20,3.902244806289673,0.8043,39.5993,0.1369,skl_agglomerativeClust,fico.zip
2,euclidean,average,100.0,100,3.8761796951293945,0.8043,39.5993,0.1369,skl_agglomerativeClust,fico.zip
2,euclidean,average,100.0,20,3.9329488277435294,0.8043,39.5993,0.1369,skl_agglomerativeClust,fico.zip
2,euclidean,average,20.0,20,3.362014055252075,0.8043,39.5993,0.1369,skl_agglomerativeClust,fico.zip
2,euclidean,average,inf,100,3.9177145957946777,0.8043,39.5993,0.1369,skl_agglomerativeClust,fico.zip
2,euclidean,average,inf,20,3.908093929290772,0.8043,39.5993,0.1369,skl_agglomerativeClust,fico.zip
2,euclidean,complete,1000.0,100,3.6396803855896,0.7671,54.0616,0.3605,skl_agglomerativeClust,fico.zip
2,euclidean,complete,1000.0,20,3.64906907081604,0.7671,54.0616,0.3605,skl_agglomerativeClust,fico.zip
2,euclidean,complete,100.0,100,3.6312003135681152,0.7671,54.0616,0.3605,skl_agglomerativeClust,fico.zip
2,euclidean,complete,100.0,20,3.682476282119751,0.7671,54.0616,0.3605,skl_agglomerativeClust,fico.zip
2,euclidean,complete,20.0,20,3.184999704360962,0.7671,54.0616,0.3605,skl_agglomerativeClust,fico.zip
2,euclidean,complete,inf,100,3.653714656829834,0.7671,54.0616,0.3605,skl_agglomerativeClust,fico.zip
2,euclidean,complete,inf,20,3.652012825012207,0.7671,54.0616,0.3605,skl_agglomerativeClust,fico.zip
2,euclidean,single,1000.0,100,1.6732127666473389,0.8043,39.5993,0.1369,skl_agglomerativeClust,fico.zip
2,euclidean,single,1000.0,20,1.669356107711792,0.8043,39.5993,0.1369,skl_agglomerativeClust,fico.zip
2,euclidean,single,100.0,100,1.666407585144043,0.8043,39.5993,0.1369,skl_agglomerativeClust,fico.zip
2,euclidean,single,100.0,20,1.6701834201812744,0.8043,39.5993,0.1369,skl_agglomerativeClust,fico.zip
2,euclidean,single,20.0,20,1.7738616466522217,0.8043,39.5993,0.1369,skl_agglomerativeClust,fico.zip
2,euclidean,single,inf,100,1.6714539527893066,0.8043,39.5993,0.1369,skl_agglomerativeClust,fico.zip
2,euclidean,single,inf,20,1.687086582183838,0.8043,39.5993,0.1369,skl_agglomerativeClust,fico.zip
2,euclidean,ward,1000.0,100,3.738054037094116,0.6613,7820.7431,0.295,skl_agglomerativeClust,fico.zip
2,euclidean,ward,1000.0,20,3.7447142601013184,0.6613,7820.7431,0.295,skl_agglomerativeClust,fico.zip
2,euclidean,ward,100.0,100,3.6974072456359854,0.6613,7820.7431,0.295,skl_agglomerativeClust,fico.zip
2,euclidean,ward,100.0,20,3.757110834121704,0.6613,7820.7431,0.295,skl_agglomerativeClust,fico.zip
2,euclidean,ward,20.0,20,3.291194438934326,0.6613,7820.7431,0.295,skl_agglomerativeClust,fico.zip
2,euclidean,ward,inf,100,3.747984170913696,0.6613,7820.7431,0.295,skl_agglomerativeClust,fico.zip
